TargetBoneName,HealthResource
Rt_Arm_2,40
Rt_Arm_2_PLATE,130
Lt_Arm_2,40
Lt_Arm_2_PLATE,130
Rt_Foot,40
Rt_Foot_PLATE,140
Rt_Foot_Guard_1_PLATE,135
Rt_Toe_1_PLATE,40
Rt_Ball_PLATE,40
Rt_Foot_RearWheel,40
Rt_Arm_1,40
Rt_Arm_1_PLATE,130
Lt_Arm_1,40
Lt_Arm_1_PLATE,130
Lt_Leg_2,40
Lt_Leg_2_PLATE,140
Lt_Foot_RearWheel,40
TORSO,40
Torso_Upper_Hatch_PLATE,235
Torso_Lower_Hatch_PLATE,280
Torso_PLATE,235
Lt_Foot,40
Lt_Foot_PLATE,140
Lt_Foot_Guard_1_PLATE,135
Lt_Toe_1_PLATE,40
Lt_Ball_PLATE,40
Head,40
Head_PLATE,130
Hip,40
Hip_PLATE,235
Lt_Hand,40
Lt_Hand_PLATE,140
LF11_PLATE,40
LF21_PLATE,40
LF31_PLATE,40
LT1_PLATE,40
Rt_Hand,40
Rt_Hand_PLATE,140
RF11_PLATE,40
RF21_PLATE,40
RF31_PLATE,40
RT1_PLATE,40
Rt_Leg_2,40
Rt_Leg_2_PLATE,140
Lt_Leg_1,40
Lt_Leg_1_PLATE,125
Rt_Leg_1,40
Rt_Leg_1_PLATE,125
Lt_Shoulderpad,40
Lt_Shoulderpad_PLATE,235
Rt_Shoulderpad,40
Rt_Shoulderpad_PLATE,235
