TargetBoneName,HealthResource
Rt_Arm_2,40
Rt_Arm_2_PLATE,50
Lt_Arm_2,40
Lt_Arm_2_PLATE,50
Rt_Foot,40
Rt_Foot_PLATE,60
Rt_Foot_Guard_1_PLATE,55
Rt_Toe_1_PLATE,40
Rt_Ball_PLATE,40
Rt_Foot_RearWheel,40
Rt_Arm_1,40
Rt_Arm_1_PLATE,50
Lt_Arm_1,40
Lt_Arm_1_PLATE,50
Lt_Leg_2,40
Lt_Leg_2_PLATE,65
Lt_Foot_RearWheel,40
TORSO,40
Torso_Upper_Hatch_PLATE,75
Torso_Lower_Hatch_PLATE,95
Torso_PLATE,75
Lt_Foot,40
Lt_Foot_PLATE,60
Lt_Foot_Guard_1_PLATE,55
Lt_Toe_1_PLATE,40
Lt_Ball_PLATE,40
Head,40
Head_PLATE,50
Hip,40
Hip_PLATE,75
Lt_Hand,40
Lt_Hand_PLATE,60
LF11_PLATE,40
LF21_PLATE,40
LF31_PLATE,40
LT1_PLATE,40
Rt_Hand,40
Rt_Hand_PLATE,60
RF11_PLATE,40
RF21_PLATE,40
RF31_PLATE,40
RT1_PLATE,40
Rt_Leg_2,40
Rt_Leg_2_PLATE,65
Lt_Leg_1,40
Lt_Leg_1_PLATE,70
Rt_Leg_1,40
Rt_Leg_1_PLATE,70
Lt_Shoulderpad,40
Lt_Shoulderpad_PLATE,75
Rt_Shoulderpad,40
Rt_Shoulderpad_PLATE,75
